Variação acumulada no ano durante o Plano Real
  ;Brasil
dezembro 1995;22.41
dezembro 1996;9.56
dezembro 1997;5.22
dezembro 1998;1.65
dezembro 1999;8.94
dezembro 2000;5.97
dezembro 2001;7.67
dezembro 2002;12.53
dezembro 2003;9.3
dezembro 2004;7.6
dezembro 2005;5.69
dezembro 2006;3.14
dezembro 2007;4.46
dezembro 2008;5.9
dezembro 2009;4.31
dezembro 2010;5.91
dezembro 2011;6.5
dezembro 2012;5.84
dezembro 2013;5.91
dezembro 2014;6.41
dezembro 2015;10.67
dezembro 2016;6.29
dezembro 2017;2.95
dezembro 2018;3.75
dezembro 2019;4.31
dezembro 2020;4.52
dezembro 2021;10.06

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
