"data";"valor"

"02/01/1995";"47,37"
"03/01/1995";"47,12"
"04/01/1995";"47,12"
"05/01/1995";"47,12"
"06/01/1995";"47,12"
"09/01/1995";"47,12"
"10/01/1995";"47,00"
"11/01/1995";"45,89"
"12/01/1995";"45,77"
"13/01/1995";"45,89"
"16/01/1995";"45,77"
"17/01/1995";"45,77"
"18/01/1995";"46,02"
"19/01/1995";"45,89"
"20/01/1995";"45,89"
"23/01/1995";"45,77"
"24/01/1995";"45,89"
"25/01/1995";"45,77"
"26/01/1995";"45,65"
"27/01/1995";"45,53"
"30/01/1995";"45,89"
"31/01/1995";"46,14"
"01/02/1995";"56,28"
"02/02/1995";"56,67"
"03/02/1995";"56,94"
"06/02/1995";"56,94"
"07/02/1995";"56,81"
"08/02/1995";"56,81"
"09/02/1995";"56,67"
"10/02/1995";"56,67"
"13/02/1995";"56,67"
"14/02/1995";"56,54"
"15/02/1995";"56,54"
"16/02/1995";"56,41"
"17/02/1995";"56,41"
"20/02/1995";"56,28"
"21/02/1995";"56,28"
"22/02/1995";"56,28"
"23/02/1995";"56,28"
"24/02/1995";"56,28"
"01/03/1995";"41,67"
"02/03/1995";"41,56"
"03/03/1995";"41,67"
"06/03/1995";"41,67"
"07/03/1995";"41,67"
"08/03/1995";"41,67"
"09/03/1995";"41,67"
"10/03/1995";"65,87"
"13/03/1995";"65,73"
"14/03/1995";"65,59"
"15/03/1995";"65,73"
"16/03/1995";"65,73"
"17/03/1995";"65,73"
"20/03/1995";"65,73"
"21/03/1995";"65,73"
"22/03/1995";"65,73"
"23/03/1995";"65,73"
"24/03/1995";"65,73"
"27/03/1995";"65,73"
"28/03/1995";"65,59"
"29/03/1995";"65,59"
"30/03/1995";"65,59"
"31/03/1995";"65,73"
"03/04/1995";"85,74"
"04/04/1995";"85,58"
"05/04/1995";"85,43"
"06/04/1995";"85,43"
"07/04/1995";"85,43"
"10/04/1995";"85,43"
"11/04/1995";"85,43"
"12/04/1995";"85,43"
"17/04/1995";"85,58"
"18/04/1995";"85,43"
"19/04/1995";"85,43"
"20/04/1995";"85,43"
"24/04/1995";"85,58"
"25/04/1995";"85,43"
"26/04/1995";"85,43"
"27/04/1995";"85,43"
"28/04/1995";"85,43"
"02/05/1995";"61,34"
"03/05/1995";"61,21"
"04/05/1995";"61,21"
"05/05/1995";"61,21"
"08/05/1995";"61,21"
"09/05/1995";"61,21"
"10/05/1995";"61,21"
"11/05/1995";"61,07"
"12/05/1995";"61,07"
"15/05/1995";"61,07"
"16/05/1995";"60,94"
"17/05/1995";"60,94"
"18/05/1995";"60,94"
